model,abs_game_performance,abs_multi_performance,new_price,used_price,cores,threads,base_freq,boost_freq,tdp
INTEL Core i7-14700F,7160.0,32696.0,2017,1899,8+12,28,2.1,5.4,219
INTEL Core i7-14700,7160.0,32696.0,2447,2382,8+12,28,2.1,5.4,219
INTEL Core i7-13700F,6882.8,25198.0,,1655,8+8,24,2.1,5.2,219
INTEL Core i7-13700,6882.8,25198.0,,1998,8+8,24,2.1,5.2,219
INTEL Core i9-14900,7509.6,35060.5,,2515,8+16,32,2.0,5.8,219
INTEL Core i7-12700F,6366.2,20197.0,,1620,8+4,20,2.1,4.9,180
INTEL Core i7-12700,6366.2,20197.0,,2004,8+4,20,2.1,4.9,180
INTEL Core i5-14500,6264.0,21949.0,1477,1350,6+8,20,2.6,5.0,154
INTEL Core i5-13500,6024.0,18832.5,1377,1280,6+8,20,2.5,4.8,154
INTEL Core i5-13400F,5760.0,14311.0,962,920,6+4,16,2.5,4.6,154
INTEL Core i5-13400,5760.0,14311.0,1397,1328,6+4,16,2.5,4.6,154
INTEL Core i5-14400F,5910.0,16512.0,1022,990,6+4,16,3.5,4.7,148
INTEL Core i5-14400,5910.0,16512.0,1457,1350,6+4,16,3.5,4.7,148
INTEL Core i5-14490F,6264.0,21949.0,1037,1030,6+4,16,2.5,4.9,148
INTEL Core i5-13490F,6024.0,18832.5,942,910,6+4,16,2.5,4.8,148
INTEL Core Ultra 5 235,6344.1,22669.0,1197,950,6+8,14,3.4,5.0,121
INTEL Core Ultra 5 230F,6026.1,16600.0,817,722,6+4,10,3.4,5.0,121
INTEL Core Ultra 5 225F,5904.2,16500.0,812,693,6+4,10,3.3,4.9,121
INTEL Core Ultra 5 225,5904.2,16500.0,1022,820,6+4,10,3.3,4.9,121
INTEL Core i5-12500,5673.0,12344.0,1322,960,6,12,3.0,4.6,117
INTEL Core i5-12490F,5673.0,12344.0,862,820,6,12,3.0,4.6,117
INTEL Core i5-12400F,5445.0,11979.5,877,830,6,12,2.5,4.4,117
INTEL Core i5-12400,5445.0,11979.5,1217,1102,6,12,2.5,4.4,117
INTEL Core i3-13100,5139.2,8690.0,977,710,4,8,3.4,4.5,89
INTEL Core i3-12100,4966.2,8214.0,892,820,4,8,3.3,4.3,89
INTEL Core i3-14100F,5273.1,8916.5,627,637,4,8,3.5,4.7,110
INTEL Core i3-14100,5273.1,8916.5,975,850,4,8,3.5,4.7,110
INTEL Core i3-13100F,5139.2,8690.0,642,595,4,8,3.4,4.5,89
INTEL Core i3-12100F,4966.2,8214.0,622,575,4,8,3.3,4.3,89
INTEL Core i9-14900KS,9193.9,40976.0,,3000,8+16,32,3.2,6.2,253
INTEL Core i9-13900KS,8594.4,40837.0,,2050,8+16,32,3.2,6.0,253
INTEL Core i9-12900KS,7422.0,27796.0,,2012,8+8,24,3.4,5.5,241
INTEL Core i7-14700KF,8563.6,34805.0,2197,1950,8+12,28,3.4,5.6,253
INTEL Core i7-14700K,8556.3,34805.0,2747,2400,8+12,28,3.4,5.6,253
INTEL Core i7-13700KF,7954.5,30770.0,,1670,8+8,24,3.4,5.4,253
INTEL Core i7-13700K,7954.5,30770.0,,2000,8+8,24,3.4,5.4,253
INTEL Core i9-14900KF,8904.1,38497.0,2887,2550,8+16,32,3.2,6.0,253
INTEL Core i9-14900K,8911.4,38497.0,3357,2800,8+16,32,3.2,6.0,253
INTEL Core i9-13900KF,8307.7,37263.0,,1800,8+16,32,3.0,5.8,253
INTEL Core i9-13900K,8314.7,37263.0,,1900,8+16,32,3.0,5.8,253
INTEL Core Ultra 7 265KF,7290.2,36804.0,1586,1450,8+12,20,3.9,5.5,250
INTEL Core Ultra 7 265K,7290.2,36804.0,1797,1550,8+12,20,3.9,5.5,250
INTEL Core Ultra 9 285K,7496.1,41583.0,3877,3400,8+16,24,3.7,5.7,250
INTEL Core Ultra 7 270K Plus,7965.7,43184.0,2296,2239,8+16,24,3.7,5.5,250
INTEL Core i9-12900KF,7104.5,27422.0,,1900,8+8,24,3.2,5.2,241
INTEL Core i9-12900K,7104.5,27422.0,,2255,8+8,24,3.2,5.2,241
INTEL Core i7-12700KF,6896.1,22801.0,1797,1729,8+4,20,3.6,5.0,190
INTEL Core i7-12700K,6896.1,22801.0,2192,2011,8+4,20,3.6,5.0,190
INTEL Core i5-14600KF,7502.5,23983.0,1427,1369,6+8,20,3.5,5.3,181
INTEL Core i5-14600K,7502.5,23983.0,1437,1400,6+8,20,3.5,5.3,181
INTEL Core i5-13600KF,7229.4,23847.0,1307,1250,6+8,20,3.5,5.1,181
INTEL Core i5-13600K,7229.4,23847.0,1357,1282,6+8,20,3.5,5.1,181
INTEL Core Ultra 5 245KF,6678.0,25146.5,1137,1060,6+8,14,4.2,5.4,159
INTEL Core Ultra 5 245K,6678.0,25146.5,1167,1080,6+8,14,4.2,5.4,159
INTEL Core Ultra 5 250K Plus,7476.2,32380.0,1526,1545,6+12,18,4.2,5.3,159
INTEL Core i5-12600KF,6221.0,17648.0,1037,1016,6+4,16,3.7,4.9,150
INTEL Core i5-12600K,6221.0,17648.0,1287,1199,6+4,16,3.7,4.9,150
INTEL Core i5-11600K,5717.6,11277.0,,780,6,12,3.9,4.9,125
AMD Ryzen 9 7900X,5759.2,29242.0,,1350,12,24,4.7,5.6,170
AMD Ryzen 9 7950X,6069.3,38165.0,,1800,16,32,4.5,5.7,170
AMD Ryzen 9 9950X3D,11684.4,42369.0,4166,3600,16,32,4.3,5.7,170
AMD Ryzen 9 9950X,8064.4,42074.0,2846,2741,16,32,4.3,5.7,170
INTEL Core i5-10600KF,5377.4,10146.5,,611,6,12,4.1,4.8,125
INTEL Core i5-10600K,5377.4,10146.5,,628,6,12,4.1,4.8,125
INTEL Core i5-11600KF,5717.6,11277.0,,705,6,12,3.9,4.9,125
INTEL Core i7-10700KF,5805.2,12824.0,,1010,8,16,3.8,5.1,125
INTEL Core i7-10700K,5805.2,12824.0,,1700,8,16,3.8,5.1,125
INTEL Core i9-10900KF,6010.0,13761.0,,1550,10,20,3.7,5.3,125
INTEL Core i9-10900K,6010.0,13761.0,,2740,10,20,3.7,5.3,125
INTEL Core i9-10850K,5735.4,16234.0,,1589,10,20,3.6,5.2,125
INTEL Core i7-11700KF,6093.7,15011.0,,1030,8,16,3.6,5.0,125
INTEL Core i7-11700K,6093.7,15011.0,,1392,8,16,3.6,5.0,125
INTEL Core i9-11900KF,6345.8,15204.0,,1420,8,16,3.5,5.1,125
INTEL Core i9-11900K,6345.8,15204.0,,2080,8,16,3.5,5.1,125
AMD Ryzen 7 9800X3D,12178.8,23313.0,2816,2697,8,16,4.7,5.2,120
AMD Ryzen 9 9900X3D,10929.9,38334.0,3456,2750,12,24,4.4,5.5,120
AMD Ryzen 9 9900X,7656.7,32626.0,2386,1989,12,24,4.4,5.6,120
AMD Ryzen 9 7900X3D,7975.8,27084.0,,1800,12,24,4.4,5.6,120
AMD Ryzen 9 7950X3D,8485.7,38581.0,,2369,16,32,4.2,5.7,120
AMD Ryzen 7 7800X3D,10139.5,17762.0,1916,1761,8,16,4.2,5.0,120
AMD Ryzen 5 7600X,7441.0,15204.0,1076,802,6,12,4.7,5.3,105
AMD Ryzen 7 7700X,8011.5,20001.0,,1070,8,16,4.5,5.4,105
AMD Ryzen 7 3800X,4765.3,13812.0,,540,8,16,3.9,4.5,105
AMD Ryzen 9 3900X,3339.8,18454.0,,779,12,24,3.8,4.6,105
AMD Ryzen 7 5800X,6541.9,15228.0,,910,8,16,3.8,4.7,105
AMD Ryzen 9 5900X,4658.0,22046.0,,1315,12,24,3.7,4.8,105
AMD Ryzen 9 3950X,3492.3,24396.0,,1199,16,32,3.5,4.7,105
AMD Ryzen 9 5950X,4911.6,28782.0,,1712,16,32,3.4,4.9,105
AMD Ryzen 7 5800X3D,7535.1,14514.0,,2400,8,16,3.4,4.5,105
AMD Ryzen 7 5700X3D,6853.2,13524.0,2086,1700,8,16,3.0,4.1,105
AMD Ryzen 5 3600XT,4538.4,9812.0,,415,6,12,3.8,4.5,95
AMD Ryzen 5 3600X,4471.3,9493.0,,389,6,12,3.8,4.4,95
AMD Ryzen 5 8600G,6224.4,13359.0,1136,900,6,12,4.3,5.0,65
AMD Ryzen 7 8700G,6674.5,17858.0,1596,1350,8,16,4.2,5.1,65
AMD Ryzen 5 8400F,5915.7,12693.0,676,474,6,12,4.2,4.7,65
AMD Ryzen 7 8700F,6681.2,17614.0,896,780,8,16,4.1,5.0,65
AMD Ryzen 5 9600X,8263.2,16284.0,1126,980,6,12,3.9,5.4,65
AMD Ryzen 5 9500F,7850.0,15470.0,1011,835,6,12,3.9,5.4,65
AMD Ryzen 5 5600G,4604.2,10667.0,,726,6,12,3.9,4.4,65
AMD Ryzen 7 9700X,8863.5,19539.0,1536,1407,8,16,3.8,5.5,65
AMD Ryzen 7 7700,7724.8,19910.0,1186,830,8,16,3.8,5.3,65
AMD Ryzen 7 5700G,4984.1,13945.0,1156,900,8,16,3.8,4.6,65
AMD Ryzen 5 7600,7014.0,14389.0,,650,6,12,3.8,5.1,65
AMD Ryzen 3 3300X,3613.1,6787.0,,249,4,8,3.8,4.3,65
INTEL Core i3-10105F,3934.2,5689.0,,375,4,8,3.7,4.4,65
INTEL Core i3-10105,3934.2,5689.0,,525,4,8,3.7,4.4,65
AMD Ryzen 5 7500F,6832.0,13809.0,686,600,6,12,3.7,5.0,65
